transaction_id,transaction_date,value_date,debit,credit,amount,narration,reference,account_number
BANK-00062,2026-07-03,2026-07-03,90988.11,,90988.11,Bharat Cloud Services,INV-26-00062,XXXXXX1234
BANK-00063,2026-07-10,2026-07-10,18410.85,,18410.85,Cedar Industrial Supplies,INV-26-00063,XXXXXX1234
BANK-00064,2026-07-11,2026-07-11,76814.14,,76814.14,Delta Business Systems,INV-26-00064,XXXXXX1234
BANK-00065,2026-07-03,2026-07-03,65148.30,,65148.30,Evergreen Packaging,INV-26-00065,XXXXXX1234
BANK-00066,2026-07-01,2026-07-01,62362.53,,62362.53,Apex Office Solutions,INV-26-00066,XXXXXX1234
BANK-00067,2026-07-19,2026-07-19,36282.36,,36282.36,Bharat Cloud Services,INV-26-00067,XXXXXX1234
BANK-00068,2026-07-11,2026-07-11,37081.63,,37081.63,Cedar Industrial Supplies,INV-26-00068,XXXXXX1234
BANK-00069,2026-07-02,2026-07-02,16391.32,,16391.32,Delta Business Systems,INV-26-00069,XXXXXX1234
BANK-00070,2026-07-26,2026-07-26,75917.42,,75917.42,Evergreen Packaging,INV-26-00070,XXXXXX1234
BANK-00071,2026-07-30,2026-07-30,94115.17,,94115.17,Apex Office Solutions,INV-26-00071,XXXXXX1234
BANK-00072,2026-07-04,2026-07-04,2783.59,,2783.59,Bharat Cloud Services,INV-26-00072,XXXXXX1234
BANK-00073,2026-07-03,2026-07-03,43324.72,,43324.72,Cedar Industrial Supplies,INV-26-00073,XXXXXX1234
BANK-00074,2026-07-08,2026-07-08,38652.99,,38652.99,Delta Business Systems,INV-26-00074,XXXXXX1234
BANK-00075,2026-07-04,2026-07-04,77913.37,,77913.37,Evergreen Packaging,INV-26-00075,XXXXXX1234
BANK-00076,2026-07-08,2026-07-08,52569.84,,52569.84,Apex Office Solutions,INV-26-00076,XXXXXX1234
BANK-00077,2026-07-28,2026-07-28,27829.47,,27829.47,Bharat Cloud Services,INV-26-00077,XXXXXX1234
BANK-00078,2026-07-07,2026-07-07,47369.24,,47369.24,Cedar Industrial Supplies,INV-26-00078,XXXXXX1234
BANK-00079,2026-07-31,2026-07-31,50654.73,,50654.73,Delta Business Systems,INV-26-00079,XXXXXX1234
BANK-00080,2026-07-15,2026-07-15,16228.28,,16228.28,Evergreen Packaging,INV-26-00080,XXXXXX1234
BANK-00081,2026-07-15,2026-07-15,85121.57,,85121.57,Apex Office Solutions,INV-26-00081,XXXXXX1234
BANK-00082,2026-07-18,2026-07-18,60060.46,,60060.46,Bharat Cloud Services,INV-26-00082,XXXXXX1234
BANK-00083,2026-07-17,2026-07-17,78150.05,,78150.05,Cedar Industrial Supplies,INV-26-00083,XXXXXX1234
BANK-00084,2026-07-30,2026-07-30,78752.69,,78752.69,Delta Business Systems,INV-26-00084,XXXXXX1234
BANK-00085,2026-07-13,2026-07-13,27722.20,,27722.20,Evergreen Packaging,INV-26-00085,XXXXXX1234
BANK-00086,2026-07-16,2026-07-16,67481.48,,67481.48,Apex Office Solutions,INV-26-00086,XXXXXX1234
BANK-00087,2026-07-12,2026-07-12,37249.28,,37249.28,Bharat Cloud Services,INV-26-00087,XXXXXX1234
BANK-00088,2026-07-29,2026-07-29,1582.58,,1582.58,Cedar Industrial Supplies,INV-26-00088,XXXXXX1234
BANK-00089,2026-07-03,2026-07-03,35724.90,,35724.90,Delta Business Systems,INV-26-00089,XXXXXX1234
BANK-00090,2026-07-18,2026-07-18,11685.90,,11685.90,Evergreen Packaging,INV-26-00090,XXXXXX1234
BANK-00091,2026-07-25,2026-07-25,65444.56,,65444.56,Apex Office Solutions,INV-26-00091,XXXXXX1234
BANK-00092,2026-07-03,2026-07-03,67964.73,,67964.73,Bharat Cloud Services,INV-26-00092,XXXXXX1234
BANK-00093,2026-07-03,2026-07-03,85459.45,,85459.45,Cedar Industrial Supplies,INV-26-00093,XXXXXX1234
BANK-00094,2026-07-08,2026-07-08,16436.13,,16436.13,Delta Business Systems,INV-26-00094,XXXXXX1234
BANK-00095,2026-07-16,2026-07-16,51320.10,,51320.10,Evergreen Packaging,INV-26-00095,XXXXXX1234
BANK-00096,2026-07-09,2026-07-09,80586.70,,80586.70,Apex Office Solutions,INV-26-00096,XXXXXX1234
BANK-00097,2026-07-23,2026-07-23,19552.76,,19552.76,Bharat Cloud Services,INV-26-00097,XXXXXX1234
BANK-00098,2026-07-03,2026-07-03,82135.32,,82135.32,Cedar Industrial Supplies,INV-26-00098,XXXXXX1234
BANK-00099,2026-07-22,2026-07-22,48849.01,,48849.01,Delta Business Systems,INV-26-00099,XXXXXX1234
BANK-00100,2026-07-04,2026-07-04,83332.24,,83332.24,Evergreen Packaging,INV-26-00100,XXXXXX1234
